,angles,points,dist,comp_time,length
139,4,1000,1.0,2.22497,21.51
140,5,1000,1.0,3.46832,22.7521
141,6,1000,1.0,4.93593,21.5306
142,7,1000,1.0,6.61394,21.9518
143,8,1000,1.0,10.073,21.7895
144,1,2000,1.0,0.343492,38.3339
145,2,2000,1.0,1.32703,20.8914
146,3,2000,1.0,2.96502,22.5759
147,4,2000,1.0,5.18567,18.89
148,5,2000,1.0,8.19333,21.5938
149,6,2000,1.0,11.615,18.9602
150,7,2000,1.0,15.7882,18.7736
151,8,2000,1.0,20.372,18.7776
152,1,4000,1.0,0.756938,38.3339
153,2,4000,1.0,2.92936,20.8914
154,3,4000,1.0,7.70738,22.5759
155,4,4000,1.0,12.3142,18.89
156,5,4000,1.0,19.0487,21.5502
157,6,4000,1.0,27.4772,18.9602
158,7,4000,1.0,37.2499,18.7736
159,8,4000,1.0,49.0294,18.7776
160,1,250,1.1,0.030657,33.9772
161,2,250,1.1,0.11579,21.5978
162,3,250,1.1,0.243681,22.8112
163,4,250,1.1,0.430282,21.5978
164,5,250,1.1,0.658469,21.9964
165,6,250,1.1,0.932357,21.5558
166,7,250,1.1,1.25929,21.4964
167,8,250,1.1,1.68945,21.3772
168,1,500,1.1,0.079911,28.9038
169,2,500,1.1,0.289221,20.6826
170,3,500,1.1,0.635994,22.8112
171,4,500,1.1,1.08406,20.7856
172,5,500,1.1,1.68966,22.0998
173,6,500,1.1,2.37753,20.6657
174,7,500,1.1,3.22671,19.548
175,8,500,1.1,4.13819,20.2817
176,1,1000,1.1,0.185001,28.9038
177,2,1000,1.1,0.688711,20.6896
178,3,1000,1.1,1.52118,22.8112
179,4,1000,1.1,2.65116,21.1934
180,5,1000,1.1,4.15161,22.0998
181,6,1000,1.1,5.83627,20.4515
182,7,1000,1.1,7.84388,19.5296
183,8,1000,1.1,10.1403,20.6072
184,1,2000,1.1,0.4122,28.9038
185,2,2000,1.1,1.6032,20.2616
186,3,2000,1.1,4.39466,22.1137
187,4,2000,1.1,7.24931,20.9387
188,5,2000,1.1,9.81919,20.777
189,6,2000,1.1,13.9535,19.2952
190,7,2000,1.1,18.8629,18.9171
191,8,2000,1.1,23.9693,20.6537
192,1,4000,1.1,0.865969,28.9038
193,2,4000,1.1,3.48446,20.2616
194,3,4000,1.1,8.18201,22.5915
195,4,4000,1.1,14.4274,20.9387
196,5,4000,1.1,22.6118,20.6406
197,6,4000,1.1,35.4704,19.2952
198,7,4000,1.1,45.2072,18.9171
199,8,4000,1.1,58.7238,21.1131
