-4.77485; -4.42087; 3
-4.94441; -4.28193; 0
-4.97834; -4.25428; -3
-5.06256; -4.15143; -3
-5.07359; -4.12842; 0
-5.0878; -4.09562; -3
-5.0899; -4.09067; -3
-5.2356; -3.22467; 0
-5.24642; -3.15591; -3
-5.25048; -3.10408; 3
-5.3216; -1.88656; 0
-5.32446; -1.83796; -3
-5.26681; -1.63015; -3
-4.4755; -0.579557; 0
-4.4666; -0.567739; -3
-4.3667; -0.162676; 3
-4.96273; 0.815015; 0
-5.00874; 0.890028; -3
-5.01594; 1.22624; -3
-4.09466; 2.67808; -0
-4.08988; 2.68561; 3
-3.74805; 2.94243; -3
-1.53237; 2.7065; 0
-1.48932; 2.70189; 3
-1.26563; 2.75822; 3
-0.776239; 3.1427; -0
-0.460691; 3.23066; -3
-0.120558; 3.23089; 3
1.62309; 4.21495; -0
1.64124; 4.22519; -3
1.67751; 4.24286; -3
2.5383; 4.39695; -0
2.71807; 4.41225; -3
2.80159; 4.3898; 3
3.27982; 4.20976; -0
3.45266; 4.12886; -3
4.00286; 4.16088; 3
4.02777; 4.2094; 0
4.28141; 4.49241; -3
4.56122; 4.56347; 3
5.12902; 5.01053; 0
4.92884; 5.00768; 3
