,angles,points,dist,comp_time,connections,length
0,36,---,5,0.000617,5,0
1,36,---,7,0.000508,5,0
2,36,---,10,0.000502,5,0
3,360,---,5,0.000492,5,0
4,360,---,7,0.000542,5,0
5,360,---,10,0.000485,5,0
